sentence,empathy_score
"""Let's unlock your creative potential! I have some great activities that will help you access your creativity. Choose one and let's begin - it's time to explore your creative side!""",0
Wow! Let's get creative! Here's a great exercise to help you tap into your creative power: choose one and let's get started! I'm here to support you all the way.,0
"""Ready to get creative? I have a great exercise to help you practice your personal creativity. Let's get started, pick one and let's go!""",0
"Hey there! Ready to get creative? I'm here to help you out. Let's try something new and exciting - why don't you give one of these exercises a try? It'll be a fun challenge, and it'll help your creativity flourish. Let's do this!",0
Let's get creative! Here's an idea that can help you enhance your personal creativity. How about you pick an exercise and give it a try? It'll be a great start to unlocking your creative potential - I'm sure of it! Let's make it fun and get started!,0
"It's time to tap into your inner creativity and give yourself a boost! Here's an idea - why not try one of these exercises? Not only will it help you get creative, but it'll also be an enjoyable experience. So go ahead and pick one - you won't regret it!",0
Great! I'm so excited to help you to express your creative side. Let's explore a few exercises that can help get your creative juices going. How about we pick one to start? It'll be a great way to get inspired!,0
Great! You're ready to access your creativity! Let's begin with an exercise to help you channel your energy and creativity. Here's one for you - pick one and let the creative juices flow! Enjoy!,0
Hey there! I'm here to help you unleash your creative potential! Let's explore some exercises that can help you channel your energy and develop powerful habits to navigate your creative processes. I'm so excited to help you find your inner creative genius - let's get started! Pick one and get creative!,0
"""Hey there! I'm here to help you spark your creativity and unlock your unique potential. Let's get going! Here are some fun exercises to explore and see where they take you. Let's get started - which one catches your eye?""",0
"""Ready to explore your creative side? I'm here to help you every step of the way! Let's find an exercise that fits you perfectly – one that will help you unleash your creativity!""",0
"Hey there, I'm here to help you out! I've got some amazing exercises that can help you boost your creativity. How about it? Are you ready to get started and unleash your creative potential? Let's do this!",0
Let's get creative! Here's a great opportunity to tap into your unique and powerful creative energy. Take a few moments to explore a few exercises that could help you get the creative juices flowing. You never know what kind of exciting ideas and innovative solutions you'll discover. Give it a try - you won't regret it!,0
"""I'm here to help you out! Here are a few exercises you can try to boost your creativity. Take your time and pick something that resonates with you. You got this - I'm sure of it!""",0
Wonderful! Let's get creative! Here are some exercises to help you tap into your creativity and unlock your potential. Let's choose one and get started!,0
"""Let's get creative! Here's something fun to help stimulate your creative thinking. Why not try one of these and see how it works for you? You might be surprised by the results!""",0
"""Let's get creative! I'm here to help you tap into your creative potential. What do you say? Shall we try out some exercises to help you unlock your creativity? Shall we give it a go?""",0
"Hey there! Let's get your creative juices flowing! Here's an awesome exercise that I think you'll love: choose one activity from the list and give it a try! You never know, you might just discover some hidden creative talents!",0
"Oh, that's great! It sounds like you're looking to unlock some of your creative potential. Here are some exercises to help you get started. Why not pick one and give it a go? I'm sure you'll have a lot of fun with it!",0
"""Ready to unlock your creative potential? I'm here to help. Here's a great list of exercises to get those creative juices flowing. Which one do you want to start with?""",0
"Hey there! I know how important it is to nurture your personal creativity. I'm here to help! Why not try one of these great exercises to get started? If you need any help, just let me know. I'm here for you.",1
"Hey there, I'm here to help you out! Let's explore some fun exercises that can help you tap into your creativity. You can choose whichever one you like - I'm sure you'll have a great time! Ready to get started?",0
Let's get creative! I'm here to help you every step of the way. Pick one of these exercises and give it a try. You won't regret it - it's sure to surprise you with the results! Let's get started!,0
