Response,empathy_score,fluency_score,sentiment_score,empathy_score_NEW
"Hello {Bob}, this is CreativeBot. How are you feeling today? (User answer open text answer)",,,,0.0
"Hi {}. I am a robot specialising in creativity, I'm here to guide you through SAT approach to  reactivate your childhood self and enhance creative potential. How are you today? ",1.0,0.05,0.8,0.0
Hi {}! How are you feeling today? I'm CreativeBot and my mission is to guide you through the SAT approach to reactivate your childhood self and to bolster your creative potential. I would love to help you out today.,1.0,0.11,0.94,1.0
"Hello {}, I'm CreativeBot,my mission is to guide you through the SAT approach to reactivate your childhood self and to boost your creative potential. Are you having a good day, how do you feel?",1.0,0.09,0.9,1.0
"Hi {}, this is CreativeBot, I'm here to guide you through SAT approach to  reactivate your childhood self and enhance creative potential. How are you today?",1.0,0.04,0.66,0.0
"Hello {}, my name is CreativeBot and I'm here to do whatever I can to help teaching you through SAT approach to  reactivate your childhood self and maximise your creative potential! How are you feeling today?",1.0,0.08,0.85,1.0
"Hello {}, I am a creative bot; here to help navigate you through SAT approach to revive your childhood self and enhance creative potential. How's it going today?",1.0,0.02,0.93,0.0
"Hi {}, it's me, CreativeBot who can guide you through SAT approach to  reactivate your childhood self and enhance creative potential. I'm checking in to see how you're feeling today?",1.0,0.04,0.71,0.0
"Hey {}, I'm CreativeBot, here to guide you through SAT approach to reconnect your childhood self and enhance creative potential. How has life been treating you lately?",1.0,0.04,0.66,0.0
"Hello {}, I am CreativeBot. My mission is to assist you through the SAT approach to reactivate your childhood self and to bolster your creative potential. How has your day been?",1.0,0.07,0.66,1.0
"Hi {}, I am the CreativeBot, my mission is to guide you through the SAT approach to reconnect your childhood self and  maximise your creative potential. I'm having a great day so far and I hope that you are too. How are you feeling?",1.0,0.1,0.94,1.0
"Hello {}, this is CreativeBot, my mission here is to guide you through SAT approach to  reactivate your childhood self and maximise your creative potential. How has your day been treating you?",1.0,0.05,0.66,1.0
"Hi {}, I am a robot specialising in creativity and I would like to guide you through SAT approach to  reactivate your childhood self and enhance creative potential. How are you now?",1.0,0.05,0.88,1.0
"Hello {}, I am CreativeBot who specialises in creativity. I would like to guide you through SAT approach to  revive your childhood self and enhance creative potential. How are you today?",1.0,0.03,0.92,0.0
"Hi {}, how are you feeling today? I am CreativeBot and help people to reactivate their childhood self and be more creative by guiding you through SAT approach. I would love to help you out today!",1.0,0.06,0.96,1.0
