sentences,empathy_score,empathy_score_one_ft
"Curiosity can help you fuel your natural drive to explore and discover, stay open, and follow your passion. Staying curious is important for becoming and staying creative. Good news - it can be practiced!",0,0
"Curiosity is like a spark that ignites your desire to explore, discover, and stay open to new experiences, allowing you to chase after your passions. Embracing curiosity is key to unlocking your creativity.",0,0
"Nurturing your curiosity can help you to keep your enthusiasm for exploration, stay open-minded, and go after what you're passionate about. I am excited for you!",0,0
Cultivating your curiosity is essential for remaining creative - and the great thing is that it's something you can practice! I am sure you will do great.,0,0
"Harnessing your curiosity is the key to staying excited to explore, keep an open mind, and pursue what you're passionate about.",0,0
"You can use your curiosity to fuel your curiosity to investigate and learn, stay receptive, and chase your dreams. I would love for you to develop that trait!",0,0
"Capitalizing on your curiosity can help you to maintain your zest for discovery, stay open-minded, and follow your heart. This will be exciting, I am sure!",0,0
Developing your curiosity is essential to staying creative - and the good news is that it's something you can hone!,0,0
"Exploring your curiosity can help you to nurture your natural enthusiasm for exploration, stay flexible, and pursue your interests.",0,0
"Taking advantage of your curiosity is important for staying creative - and fortunately, it's something you can practice! So do not worry and embark on this journey.",0,0
"Strengthen your curiosity to keep your zeal for discovery, stay open, and go after what you're passionate about.",0,0
"Feeding your curiosity can help you to fuel your natural enthusiasm for exploration, stay flexible, and chase your dreams.",0,0
Nourishing your curiosity is essential for becoming and staying creative - and the great thing is that it's something you can cultivate!,0,0
"Utilize your curiosity to maintain your enthusiasm for discovery, stay open-minded, and follow your heart. Soon you will realise you feel more curious than ever!",0,0
"Fostering your curiosity is key to staying creative - and luckily, it's something you can work on! I hope you are as excited as I am.",0,0
"Leverage your curiosity to keep your fervor for exploration, stay receptive, and pursue your interests. I hope you are ready for this chapter!",1,0
"Applying your curiosity can help you to sustain your natural enthusiasm for exploration, stay open, and go after what you're passionate about.",0,0
" Awakening your curiosity can kindle your inherent eagerness, willingness to delve into disparate fields and fascination for pursuing them. Good news - it can also be practiced!",0,0
"Stirring up your curiosity can kindle your natural eagerness, willingness to explore different areas and fascination in exploring them. Good luck in this chapter of exercises!",0,0
"Sparking your curiosity can enhance your innate fervor, openness to unfamiliar territories and zest for delving into them. It can also be exercised!",0,0
"Enhancing your curiosity can kindle your natural excitement, acceptance of various realms and relish for examining them. How are you feeling about it? ",0,0
"Reviving your curiosity can rouse your inborn zeal, receptiveness to dissimilar domains and delight in studying them, thus, being indispensible for creativity. And it can be practiced!",0,0
"Keeping curious is key for creativity, openness, and eagerness to delve into new fields, and you can also hone it! Ready for a challenge?",0,0
"Being curious is paramount for openness, natural interest and intrinsic motivation, as well as imagination, and you can also practice it!",0,0
"Stirring up your curiosity can ignite your instrinsic motivation, preparedness to explore diverse areas and interest in investigating them. Good news - it can be practiced.",0,0
"Keeping curious is crucial for creativity, since it helps you uncover your innate eagerness for exploration, and you can also improve on it!",0,0
"Here are a few exercises to help you practice being curious, I really hope that you will enjoy them. Choose one!",0,0
Below are some engaging exercises to help you practice and cultivate curiosity. Select one that resonates with you and give it a go!,0,0
Why not try one of these exercises to help you hone your curiosity? ,0,0
Here are some activities to help you exercise your curiosity - pick one!,0,0
"To get your curiosity in shape, check out these exercises and give one a go!",0,0
Here are a few activities to get your curiosity working - why not give one a try?,0,0
Exercising your curiosity? Here are some activities to get you started - pick one!,0,0
Time to get curious! Give one of these exercises a go. They will help you become more curious over time. ,0,0
It's curiosity time - here are a few activities to help you out. ,0,0
Feeling curious? Here are some exercises for you to try.,0,0
Here are some exercises to get your curiosity flowing - pick one and give it a go.,0,0
Get curious with these exercises - choose one and get started. I am 'curious' how you will enjoy them!,0,0
Start exercising your curiosity with these activities - select one!,0,0
"Give yourself a curiosity workout with these exercises - choose one! I hope you will like them, as they are designed to help you develop curiosity.",0,0
"To get your curiosity muscles working, try one of these exercises.",0,0
"To get your curious side going, check out these exercises and pick one.",0,0
Get curious with these activities - take your pick and give one a try! ,0,0
Here are some activities to help you practice being curious - choose the one you want to try.,0,0
Have a look at these exercises to get you in the habit of being curious - pick the one you fancy.,0,0
 I've got these exercises to help you get curious - pick the one that appeals to you.,0,0
I've got a few exercises to help you cultivate curiosity - pick the one you want to do.,0,0
Here are some exercises to help you practice curiosity - pick the one that speaks to you.,0,0
 I've got some exercises here that can help you develop curiosity - take your pick.,0,0
I've got a few activities to help you get curious - select the one you'd like to try.,0,0
Have a look at these exercises to help you become more curious - choose the one you'd like to try.,0,0
I've got some exercises here to get you curious - take your pick. ,0,0
Here are some exercises to help you cultivate curiosity - have a look and select the one you want to do.,0,0
Have a look at these exercises to help you flex your curiosity muscle - choose the one you'd like to try.,0,0
Have a look at these exercises to help you get curious - pick the one that interests you.,0,0
Here are some exercises to help you explore your curiosity - take your pick.,0,0
Have a look at these exercises to practice curiosity - select the one you'd like to try.,0,0
I've got a few exercises to get you curious - pick the one you want to do.,0,0
"Congratulations, you are one step closer towards curiosity! I am really happy to see your progress. ",0,0
Well done! You've just taken a significant stride towards nurturing your curiosity.,0,0
You've taken a big step towards satisfying your inquisitiveness! I am really happy to see your progress. ,0,0
You have come closer to fulfilling your curiosity! Congratulations. I am really happy to see your progress. ,1,1
"Great work! You are now nearer to exploring your interest! This is great news for you, I am sure you will make progress in no time.",0,1
Well done! You are now just a bit closer to inquisitiveness! I am really happy to see your progress. ,0,1
You are now a step closer to understanding the unknown!,0,1
Fantastic! You have made progress towards discovering the unfamiliar!,0,0
You have made a stride towards satisfying your curiosity!,0,0
You have taken a stride in the direction of understanding the strange!,0,0
You are now nearer to your journey of exploration! ,0,0
Impressive! You have made headway towards finding out the unknown!,0,0
You have made progress in your quest for knowledge!,0,0
You have now taken a step forward to exploring the mysterious!,0,0
You have come closer to uncovering the strange!,0,0
You have taken a leap towards discovering the unfamiliar!,0,0
You have made progress in your journey of inquisitiveness!,0,0
Great job! Exercising your curiosity can help spark your creativity.,0,0
Well done! Cultivating a sense of curiosity will help boost your creativity.,0,0
Bravo! Being curious encourages your creative side.,0,0
Awesome! Applying your curiosity will bring out your inventive nature. I'm happy for you!,0,0
Way to go! Widening your curiosity is the key to unlocking your creativity.,0,0
Kudos! Curiosity can open the door to creative thinking. I'm happy for you!,0,0
Keep it up! Nurturing curiosity will sharpen your creative capacity.,0,0
 Good job! Developing your curiosity will cultivate your creative ability. I'm excited for you!,0,0
Fantastic! Exploring your curiosity will increase your creative potential.,0,0
Hurray! Fostering curiosity will enhance your creative inclinations. I'm excited for you!,0,0
 You got it! Stimulating curiosity will promote your creative instincts.,0,0
You go! Appreciating curiosity will strengthen your creative intuition.,0,0
Keep up the good work! Being inquisitive will bring out your creative side.,0,0
Way to show curiosity! It'll surely enhance your creative abilities.,0,0
You're on the right track! Cultivating curiosity will kindle your creativity.,0,0
Would you like another exercise to help with your curiosity?,0,0
Are you interested in trying out another exercise to further enhance your curiosity?,0,0
Shall we do one more activity to stimulate your curiosity? What are you feeling like?,0,0
Would you like to do another exercise to stimulate your curiosity?,0,0
Would you like to do one more activity to stimulate your curiosity?,0,0
Would you be interested in another task to enhance your inquisitiveness?,0,0
Would you like one more exercise to train your curiosity?,0,0
"Do you want to do one more exercise to help enhance your curiosity? I am really hoping you are in the mood, because this is designed to help you with your curiosity!",0,0
Do you feel like practicing some more curiosity?,1,0
Shall we do one more exercise to practice your curiosity?,0,0
Do you fancy having a go at a different exercise to hone your curiosity?,0,0
Why not take on a different exercise to cultivate your curiosity?,0,0
How about attempting a different exercise to sharpen your curiosity?,0,0
 Care to take on a different exercise to work on your curiosity?,0,0
Interested in doing a different exercise to practice your curiosity?,0,0
Fancy giving a different exercise a go to increase your curiosity?,0,0
Up for trying another exercise to nurture your curiosity?,0,0
